query,error_type,error_subtype,emotion,feedback_target,intended_learning_outcome
SELECT Model FROM Robots WHERE Model LIKE 'X%' OR Model LIKE 'X%';,construction,inefficient query,sadness,"Don't worry, I'm here to help! You can simplify this query as the WHERE clause repeats the same condition twice.",Understanding how to simplify WHERE clause
SELECT * FROM Robots WHERE Robot_ID IN (SELECT Robot_ID FROM Robots WHERE Model = 'Y100');,construction,inefficient query,calmness,"Your query is correct, but the subquery is redundant.",Understanding how to simplify subqueries
SELECT DISTINCT Robot_ID FROM Robots WHERE Status = 'Active';,construction,inefficient query,happiness,"Good Start! However, Robot_ID is the primary key, then DISTINCT is unnecessary.",Learning to avoid unnecessary DISTINCT
SELECT * FROM Incidents WHERE Incident_ID IN (SELECT Incident_ID FROM Incidents WHERE Description LIKE '%Error%') AND Robot_ID IN (SELECT Robot_ID FROM Robots WHERE Status = 'Active');,construction,inefficient query,anger,"Whoa, slow down! Your query is valid, but the subquery on Incident_ID is redundant since you are already selecting from Incidents. A direct condition on Description is simpler and clearer.",Understanding how to simplify subqueries
"SELECT Employee_ID, MAX(Timestamp) FROM Logs WHERE Log_ID = 5001 GROUP BY Employee_ID;",construction,inefficient query,neutral,"Your query is valid, but the GROUP BY and MAX() are unnecessary since filtering by a single Log_ID already ensures one row.",Understanding when GROUP BY is unnecessary for single-row results
"SELECT Name, CASE WHEN Division = 'IT' THEN 'Tech' WHEN Division != 'IT' THEN 'Non-Tech' END FROM Employees;",construction,inefficient query,sadness,Don't worry about complexity! This can be simplified. The CASE expression is redundant: WHEN Division != 'IT' can be replaced with ELSE for simplicity and clarity.,Understanding how to simplify CASE clauses
SELECT COUNT(*) FROM Employees WHERE Employee_ID IN (SELECT Employee_ID FROM Employees WHERE Job_Role = 'Manager');,construction,inefficient query,anger,No need to stress over subqueries! Your query is valid but redundant: the subquery repeats the same table filter.,Understanding how to simplify subqueries
SELECT * FROM Robots WHERE Robot_ID IN (SELECT Robot_ID FROM Incidents WHERE Employee_ID IN (SELECT Employee_ID FROM Employees WHERE Division = 'Security')) AND Status = 'Active';,construction,inefficient query,calmness,Stay focused on efficiency! Your query is correct but uses nested subqueries that could be simplified into JOINs.,Learning to avoid unnecessary subqueries and complex patterns
"SELECT e1.Employee_ID, e1.Name FROM Employees e1 JOIN Employees e2 ON e1.Employee_ID = e2.Employee_ID;",construction,inefficient query,happiness,"Nice Try! But e2 adds no new information, since it’s the same table joined on the primary key.",Learning to avoid unnecessary self-joins
"SELECT r1.Robot_ID, r1.Model FROM Robots r1 JOIN Robots r2 ON r1.Robot_ID = r2.Robot_ID WHERE r2.Status = 'Active';",construction,inefficient query,neutral,This query is unnecessarily complex. This is equivalent to just filtering r1.Status = 'Active'.,Learning to avoid unnecessary self-joins
SELECT * FROM Employees WHERE Employee_ID NOT IN (SELECT Employee_ID FROM Employees WHERE Division != 'IT');,construction,inefficient query,sadness,"Don't worry, we can simplify this! This is equivalent to simply filtering with WHERE Division = 'IT'.",Understanding how to simplify subqueries
"SELECT Employee_ID, COUNT(*) FROM Logs WHERE Log_ID = 2 GROUP BY Employee_ID;",construction,inefficient query,calmness,The GROUP BY and COUNT() are unnecessary since filtering by a single Log_ID already ensures one row.,Understanding when GROUP BY is unnecessary for single-row results
SELECT DISTINCT Description FROM Incidents WHERE Incident_ID = 1001;,construction,inefficient query,happiness,"Keep Going! Incident_ID is a primary key, then there will only ever be one row per ID. DISTINCT is unnecessary.",Learning to avoid unnecessary DISTINCT
SELECT COUNT(*) FROM Incidents WHERE Incident_ID IN (SELECT Incident_ID FROM Incidents WHERE Timestamp BETWEEN '2024-01-01' AND '2024-12-31');,construction,inefficient query,anger,Let's clean this up! The subquery is unnecessary because you’re filtering on the same table and same condition.,Understanding how to simplify subqueries
SELECT Robot_ID FROM Robots WHERE Robot_ID NOT IN (SELECT Robot_ID FROM Robots WHERE Status != 'Active');,construction,inefficient query,neutral,Your query is valid but redundant. This is equivalent to simply filtering with WHERE Status = 'Active'.,Understanding how to simplify subqueries
DELETE FROM Access_Codes WHERE Employee_ID IN (SELECT Employee_ID FROM Access_Codes WHERE Timestamp_of_Last_Use IS NULL);,construction,inefficient query,calmness,The subquery inside IN is not needed because it references the same table with the same condition. Simplify by applying the filter directly in the WHERE clause.,Understanding how to simplify subqueries
SELECT COUNT(*) FROM Robots GROUP BY Robot_ID;,construction,inefficient query,sadness,Don't worry! This query is logically redundant. Since Robot_ID is already unique in the Robots table. Just remove GROUP BY clause.,Understanding when GROUP BY creates unnecessary granularity
SELECT COUNT(*) FROM Access_Codes ac WHERE ac.Level_of_Access = 'temp' AND ac.Employee_ID IN (SELECT e.Employee_ID FROM Employees e WHERE e.Job_Role = 'Admin' AND e.Division = 'IT');,construction,inefficient query,happiness,"Good job on using subqueries! However, this can be simplified. A JOIN version would be more straightforward and easier to maintain.",Understanding how to simplify subqueries with JOINs
DELETE FROM Logs WHERE Log_ID IN (SELECT Log_ID FROM Logs WHERE Timestamp < '2024-01-01');,construction,inefficient query,anger,No need to stress over subqueries! This can be simplified with using the WHERE clause.,Understanding how to simplify subqueries
UPDATE Incidents SET Description = 'High Priority' WHERE Incident_ID NOT IN (SELECT Incident_ID FROM Incidents WHERE Robot_ID IS NULL);,construction,inefficient query,neutral,This query uses unnecessarily complex logic with NOT IN.,Understanding how to simplify subqueries
SELECT * FROM Robots WHERE Robot_ID BETWEEN 1000 AND 2000 OR Robot_ID >= 1000;,construction,inefficient query,sadness,"Don't worry! The BETWEEN part has no effect, since everything in that range is already covered by >= 1000.",Understanding how to simplify WHERE clause
SELECT DISTINCT r.Robot_ID FROM Robots r INNER JOIN Logs l ON r.Robot_ID = l.Robot_ID WHERE r.Status = 'Active' AND l.Action_Description = 'Maintenance' GROUP BY r.Robot_ID;,construction,inefficient query,calmness,"Stay focused on efficiency! This query can be simplified by removing the GROUP BY clause, as the DISTINCT already ensures uniqueness.",Learning to avoid unnecessary grouping and distinct operations
SELECT * FROM Logs WHERE Robot_ID > 2 AND Robot_ID >= 3;,construction,inefficient query,anger,"No stress! This query works, but it’s logically redundant. Robot_ID > 2 AND Robot_ID >= 3 is equivalent to just Robot_ID >= 3.",Understanding how to simplify WHERE clause
SELECT COUNT(*) FROM Robots GROUP BY Robot_ID;,construction,inefficient query,neutral,"This query is valid but not meaningful. Grouping by a unique identifier like Robot_ID makes every group contain only one row, so COUNT(*) will always return 1.",Learning to avoid unnecessary grouping and distinct operations
SELECT COUNT(*) FROM Employees e1 WHERE e1.Employee_ID IN (SELECT e2.Employee_ID FROM Employees e2 WHERE e2.Division = 'Sales' AND e2.Job_Role = 'Manager');,construction,inefficient query,sadness,"Don't worry about complexity! Your query works, but it’s unnecessarily complex. The subquery repeats the same filtering logic that can be applied directly in the outer query.",Understanding how to simplify subqueries
"SELECT DISTINCT Model, Status FROM Robots GROUP BY Model, Status;",construction,inefficient query,calmness,Using both DISTINCT and GROUP BY in the same query is unnecessary.,Learning to avoid unnecessary grouping and distinct operations
SELECT * FROM Access_Codes WHERE EXISTS (SELECT 1 FROM Access_Codes ac2 WHERE ac2.Access_Code_ID = Access_Codes.Access_Code_ID AND ac2.Level_of_Access = 'admin');,construction,inefficient query,anger,"No need to stress! This query works, but the EXISTS subquery is redundant. It simply re-checks the same row against itself.",Understanding how to simplify subqueries
SELECT * FROM Logs WHERE Action_Description LIKE '%Login%' OR Action_Description = 'Login';,construction,inefficient query,happiness,"Nice Try! This query is valid but redundant. Since 'Login' is already matched by LIKE '%Login%', the extra equality condition is unnecessary.",Understanding how to simplify WHERE clause
SELECT Employee_ID FROM Employees WHERE Division = 'IT' UNION SELECT Employee_ID FROM Employees WHERE Division = 'IT';,construction,inefficient query,neutral,"This query is correct but redundant. Both sides of the UNION are identical, so the second SELECT adds no new rows. A single query is sufficient.",Building efficient and effective SQL queries
SELECT DISTINCT e.Employee_ID FROM Employees e INNER JOIN Robots r ON e.Employee_ID = r.Employee_ID WHERE r.Status = 'Active' AND e.Division = 'IT' GROUP BY e.Employee_ID;,construction,inefficient query,sadness,Don't worry about complexity! This query can be simplified by removing the GROUP BY clause.,Learning to avoid unnecessary grouping and distinct operations
SELECT * FROM Logs WHERE Employee_ID IN (SELECT Employee_ID FROM Logs);,construction,inefficient query,calmness,"Since you’re filtering Employee_ID against the same column in the same table, the condition will always be true and returns all rows.",Understanding how to simplify subqueries
SELECT DISTINCT e.Employee_ID r.Robot_ID FROM Employees e JOIN Robots r ON e.Employee_ID = r.Employee_ID;,construction,inefficient query,anger,"No need to worry! Your query is valid. Just note that DISTINCT is redundant because the join already guarantees unique (Employee_ID, Robot_ID) pairs.",Learning to avoid unnecessary DISTINCT
SELECT r1.Model FROM Robots r1 JOIN Robots r2 ON r1.Robot_ID = r2.Robot_ID WHERE r2.Status = 'Maintenance';,construction,inefficient query,happiness,Good Start! But the self-join is unnecessary. Since r1.Robot_ID = r2.Robot_ID always matches the same row.,Learning to avoid unnecessary self-joins
SELECT * FROM Incidents WHERE Description LIKE '';,construction,inefficient query,neutral,Empty pattern matches nothing. Use specific pattern.,Building efficient and effective SQL queries
SELECT * FROM Employees WHERE (Division = 'IT' OR Division = 'IT');,construction,inefficient query,anger,Don't worry! Just remove duplicate conditions in your WHERE clause.,Building efficient and effective SQL queries
SELECT Action_Description FROM Logs WHERE Log_ID IN (SELECT Log_ID FROM Logs WHERE Employee_ID = 1) AND Employee_ID = 1;,construction,inefficient query,happiness,Keep going! Remove redundant subquery. Use WHERE Employee_ID = 1 only.,Understanding how to simplify subqueries
SELECT e.Name FROM Employees e JOIN Employees e2 ON e.Employee_ID = e2.Employee_ID;,construction,inefficient query,sadness,Don't feel disheartened! Self-join with same condition is redundant. Use SELECT Name FROM Employees;,Learning to avoid unnecessary self-joins
SELECT i.Description FROM Incidents i INNER JOIN Incidents i2 ON i.Incident_ID = i2.Incident_ID;,construction,inefficient query,happiness,Great start! But self-join on primary key is pointless. Use SELECT Description FROM Incidents;,Learning to avoid unnecessary self-joins
SELECT * FROM Access_Codes WHERE Level_of_Access LIKE '%Admin%' AND Level_of_Access = 'Admin';,construction,inefficient query,sadness,"Don't be disheartened! This query is valid but redundant. Since 'Admin' is already matched by LIKE ‘%Admin%', the extra equality condition is unnecessary.",Understanding how to simplify WHERE clause
SELECT * FROM Robots WHERE Robot_ID = (SELECT Robot_ID FROM Robots WHERE Robot_ID = 1);,construction,inefficient query,calmness,Remove redundant subquery. Use WHERE Robot_ID = 1 directly.,Understanding how to simplify subqueries
SELECT * FROM Employees WHERE DIvision LIKE '';,construction,inefficient query,neutral,Empty pattern matches nothing. Use specific pattern.,Building efficient and effective SQL queries
"SELECT * FROM Access_Codes WHERE Employee_ID IN (1,2,3,4,5) OR Employee_ID BETWEEN 1 AND 5;",construction,inefficient query,anger,"Stay calm! Conditions overlap. Use either IN (1,2,3,4,5) or BETWEEN 1 AND 5, not both.",Understanding how to simplify WHERE clause
SELECT * FROM Employees WHERE Employee_ID IN (SELECT Employee_ID FROM Employees);,construction,inefficient query,neutral,Redundant subquery. Just use SELECT * FROM Employees; without the WHERE clause.,Understanding how to simplify subqueries
SELECT Description FROM Incidents WHERE Robot_ID = (SELECT Robot_ID FROM Incidents i2 WHERE i2.Incident_ID = Incidents.Incident_ID);,construction,inefficient query,happiness,Good start in exploring SQL! This query is circular subquery logic. Simplify to SELECT Description FROM Incidents.,Understanding how to simplify subqueries
SELECT * FROM Incidents WHERE Robot_ID > 0 AND Robot_ID >= 1;,construction,inefficient query,calmness,Redundant conditions. Robot_ID >= 1 already covers Robot_ID > 0.,Building efficient and effective SQL queries
SELECT * FROM Employees WHERE Division LIKE '%%';,construction,inefficient query,sadness,Don't worry about wildcard patterns. '%%' matches all records. Use specific patterns.,Building efficient and effective SQL queries
SELECT COUNT(*)  FROM Employees GROUP BY Division;,construction,inefficient query,neutral,"Query is syntactically correct but returns counts without division labels. Consider SELECT Division, COUNT(*) to identify which count corresponds to each division.",Building efficient and effective SQL queries
SELECT DISTINCT COUNT(*) AS Total FROM Logs l JOIN Incidents i ON l.Robot_ID = i.Robot_ID;,construction,inefficient query,anger,Don't worry! DISTINCT could be removed.,Learning to avoid unnecessary DISTINCT
"SELECT DISTINCT Status, COUNT(*) FROM Robots GROUP BY Status;",construction,inefficient query,calmness,DISTINCT could be removed.,Learning to avoid unnecessary DISTINCT
SELECT SUM(Log_ID) FROM Logs;,construction,inefficient query,happiness,You understand SUM function! Just remember that summing ID fields rarely provides useful insights.,Building efficient and effective SQL queries
SELECT DISTINCT MAX(Incident_ID) FROM Incidents;,construction,inefficient query,neutral,"Great job exploring DISTINCT. Just remember that MAX() gives one result, so DISTINCT isn't needed here.",Learning to avoid unnecessary DISTINCT
SELECT DISTINCT MIN(Timestamp) FROM Logs;,construction,inefficient query,happiness,"Great job exploring DISTINCT. Just remember that MIN() gives one result, so DISTINCT isn't needed here.",Learning to avoid unnecessary DISTINCT
SELECT DISTINCT COUNT(*) FROM Employees e RIGHT JOIN Access_Codes ac ON e.Employee_ID = ac.Employee_ID;,construction,inefficient query,anger,"Frustration can be a great motivator. DISTINCT with COUNT doesn't make sense. COUNT already gives you one number, so there's nothing to make distinct.",Learning to avoid unnecessary DISTINCT
SELECT * FROM Robots WHERE Robot_ID = (SELECT DISTINCT COUNT(*) FROM Incidents);,construction,inefficient query,neutral,Remove DISTINCT since COUNT(*) gives one result.,Learning to avoid unnecessary DISTINCT
"SELECT Employee_ID, Robot_ID, COUNT(*) FROM Logs GROUP BY  Employee_ID, Robot_ID HAVING COUNT(*) > 0;",construction,inefficient query,neutral,"The query is valid, but HAVING COUNT(*) > 0 is redundant — every group has at least one row.",Building efficient and effective SQL queries
SELECT * FROM Employees JOIN Robots ON Employee_ID = Employee_ID;,logic,ambiguous reference,sadness,Don't worry! You need to qualify the column names with table aliases in JOIN condition.,Understanding column reference ambiguity in JOIN
"SELECT e.Employee_ID, COUNT(*) FROM Employees e JOIN Logs l ON e.Employee_ID = l.Employee_ID GROUP BY Employee_ID HAVING COUNT(*) > 1;",logic,ambiguous reference,calmness,Employee_ID' in GROUP BY is ambiguous.,Understanding that GROUP BY clauses also require unambiguous column references
SELECT * FROM Employees WHERE Employee_ID IN (SELECT Employee_ID FROM Robots WHERE Employee_ID = Employee_ID);,logic,ambiguous reference,anger,"No stress about subqueries! In the WHERE clause 'Employee_ID = Employee_ID', it's unclear which refers to the outer vs inner query.",Learning to distinguish between outer and inner query column references
"SELECT Employee_ID, Description FROM Employees e JOIN Incidents i ON e.Employee_ID = i.Employee_ID;",logic,ambiguous reference,happiness,"Good use of join!  However, Employee_ID is ambiguous because it exists in both tables.",Understanding column reference ambiguity
"SELECT Employee_ID, Level_of_Access FROM Employees e JOIN Access_Codes a ON e.Employee_ID = a.Employee_ID WHERE a.Timestamp_of_Last_Use > '2010-01-01';",logic,ambiguous reference,neutral,Employee_ID in SELECT is ambiguous because it exists in both tables.,Understanding column reference ambiguity
"SELECT e.Name, r.Status FROM Employees e JOIN Robots r ON e.Employee_ID = r.Employee_ID ORDER BY Employee_ID;",logic,ambiguous reference,happiness,"Great job using JOIN! However,  Employee_ID in ORDER BY clause is ambiguous because it exists in both tables.",Understanding that ORDER BY clauses also require unambiguous column references
SELECT * FROM Employees e JOIN Logs l ON e.Employee_ID = l.Employee_ID JOIN Incidents i ON l.Employee_ID = i.Employee_ID WHERE Timestamp = '2020-10-01';,logic,ambiguous reference,sadness,Don't worry about timestamp comparisons! You have an ambiguous reference - 'Timestamp' could belong to either 'Logs' or 'Incidents'.,Understanding the importance of table prefixes in multi-table queries
SELECT * FROM Logs l JOIN Incidents i ON l.Robot_ID = i.Robot_ID WHERE Employee_ID = 1;,logic,ambiguous reference,calmness,"Since both Logs and Incidents have an Employee_ID column, the query is ambiguous. Always specify the correct alias.",Understanding the importance of table prefixes in multi-table queries
"SELECT e.Employee_ID, COUNT(*) FROM Employees e JOIN Access_Codes ac ON e.Employee_ID = ac.Employee_ID WHERE Employee_ID > 1000 GROUP BY e.Employee_ID;",logic,ambiguous reference,anger,"Stay calm! Both joined tables contain Employee_ID, the database cannot determine which one you mean. Always use e.Employee_ID or ac.Employee_ID explicitly.",Understanding the importance of table prefixes in multi-table queries
UPDATE Robots r JOIN Employees e ON r.Employee_ID = e.Employee_ID SET Employee_ID = 1 WHERE r.Status = 'Active';,logic,ambiguous reference,neutral,"Since both Robots and Employees tables have Employee_ID, SQL doesn’t know which one you want to update. You need to specify the table alias.",Understanding the importance of table prefixes in multi-table queries
"SELECT r.Model, l.Employee_ID FROM Robots r JOIN Logs l ON r.Robot_ID = l.Robot_ID WHERE Employee_ID > 3;",logic,ambiguous reference,sadness,Don't get discouraged by complex queries! This query is ambiguous because Employee_ID in the WHERE clause is not qualified with a table alias.,Understanding the importance of table prefixes in multi-table queries
SELECT * FROM Logs l JOIN Incidents i ON l.Employee_ID  = i.Employee_ID  WHERE Robot_ID = 2;,logic,ambiguous reference,anger,"Stay positive! Be precise with your column references! Since both Logs and Incidents have a Robot_ID column, the query is ambiguous. Always specify the correct alias.",Understanding the importance of table prefixes in multi-table queries
SELECT l.Timestamp FROM Logs l JOIN Incidents i ON l.Robot_ID = i.Robot_ID WHERE Timestamp > '2024-01-01';,logic,ambiguous reference,calmness,Both Logs and Incidents tables might have a Timestamp column. That makes the reference ambiguous.,Understanding the importance of table prefixes in multi-table queries
"SELECT Employee_ID, Level_of_Access FROM Employees e JOIN Access_Codes ac ON e.Employee_ID = ac.Employee_ID ORDER BY Employee_ID;",logic,ambiguous reference,happiness,"Great job using JOIN! However, Employee_ID is not qualified with a table alias in the SELECT and ORDER BY clauses. Both Employees and Access_Codes contain this column.",Understanding the importance of table prefixes in multi-table queries
"SELECT Employee_ID, ROW_NUMBER() OVER (PARTITION BY Employee_ID) FROM Employees e JOIN Logs l ON e.Employee_ID = l.Employee_ID;",logic,ambiguous reference,neutral,This query is ambiguous because Employee_ID is not qualified with a table alias in both the SELECT list and the PARTITION BY clause.,Understanding the importance of table prefixes in multi-table queries
DELETE l FROM Logs l JOIN Employees e ON l.Employee_ID = e.Employee_ID WHERE Employee_ID > 2000;,logic,ambiguous reference,sadness,Don't worry! You need to qualify the column names with table aliases in the WHERE clause.,Understanding the importance of table prefixes in multi-table queries
"SELECT i.Employee_ID, COUNT(i.Employee_ID) FROM Incidents i JOIN Robots r ON i.Employee_ID = r.Employee_ID GROUP BY i.Employee_ID HAVING COUNT(Employee_ID) > 10;",logic,ambiguous reference,calmness,This query is ambiguous because the HAVING clause uses COUNT(Employee_ID) without a table alias.,Understanding that aggregate functions also require unambiguous column references
"SELECT r.Status, COUNT(r.Robot_ID) FROM Robots r JOIN Incidents i ON r.Robot_ID = i.Robot_ID GROUP BY r.Status HAVING COUNT(Robot_ID) > 1;",logic,ambiguous reference,anger,Stay calm! I'm here to help! This query is ambiguous because the HAVING clause uses COUNT(Robot_ID) without a table alias.,Understanding that aggregate functions also require unambiguous column references
"SELECT e.Job_Role, l.Timestamp FROM Employees e JOIN Logs l ON Employee_ID = Employee_ID;",logic,ambiguous reference,happiness,"Good use of JOIN! However, you need to qualify the column names with table aliases in JOIN condition.",Understanding column reference ambiguity in JOIN
SELECT Employee_ID FROM Employees UNION SELECT Robot_ID FROM Robots ORDER BY Employee_ID;,logic,ambiguous reference,neutral,"This query is ambiguous because the ORDER BY clause refers to Employee_ID, which only exists in the first part of the UNION.",Understanding how to handle ambiguous references in UNION operations
"SELECT t.Name, t.Division FROM Employees t JOIN Robots t ON t.Employee_ID = t.Employee_ID;",logic,ambiguous reference,sadness,Don't get confused with alias! This query is incorrect because both tables were assigned the same alias.,Understanding table reference ambiguity
SELECT Timestamp FROM Logs l JOIN Incidents i ON l.Robot_ID = i.Robot_ID;,logic,ambiguous reference,happiness,"Nice Try! However, this query is ambiguous because Timestamp is not qualified in the SELECT list. Since both Logs and Incidents contain this column.",Understanding column reference ambiguity
UPDATE Logs l JOIN Incidents i ON l.Robot_ID = i.Robot_ID SET Timestamp = NOW() WHERE Robot_ID = 10;,logic,ambiguous reference,calmness,Timestamp and Robot_ID are not qualified with table aliases. Always prefix column names with the appropriate alias.,Understanding the importance of table prefixes in multi-table queries
"SELECT Robot_ID AS ID, Employee_ID AS ID FROM Robots WHERE Employee_ID > 1000;",logic,ambiguous reference,anger,"Don't get frustrated! Cheer up! You gave two different columns the same alias, this can cause confusion or errors when referencing the result.",Understanding column reference ambiguity
SELECT Name FROM Employees e WHERE EXISTS (SELECT 1 FROM Access_Codes WHERE Employee_ID = Employee_ID);,logic,ambiguous reference,neutral,"In the WHERE clause 'Employee_ID = Employee_ID', it's unclear which refers to the outer vs inner query.",Learning to distinguish between outer and inner query column references
"SELECT e.Employee_ID, r.Robot_ID FROM Employees e JOIN Robots r ON e.Employee_ID = r.Employee_ID ORDER BY Employee_ID;",logic,ambiguous reference,sadness,Don't worry about complex queries! The ORDER BY Employee_ID is ambiguous since both tables define that column. Try to fix it!,Understanding that ORDER BY clauses also require unambiguous column references
"SELECT l.Robot_ID, COUNT(*) FROM Logs l JOIN Robots r ON l.Employee_ID = r.Employee_ID GROUP BY Robot_ID;",logic,ambiguous reference,anger,"No stress about grouping! GROUP BY Robot_ID is not qualified with a table alias, always prefix grouped columns with their table alias.",Understanding that GROUP BY clauses also require unambiguous column references
"SELECT t.Model, t.Description FROM Robots t JOIN Incidents t ON t.Robot_ID = t.Robot_ID;",logic,ambiguous reference,calmness,"Both tables aliased as t, so the database can’t tell whether Model comes from Robots or Incidents.",Understanding table reference ambiguity
"SELECT e.Name, r.Model, l.Action_Description FROM Employees e JOIN Robots r ON Employee_ID = Employee_ID JOIN Logs l ON Robot_ID = Robot_ID;",logic,ambiguous reference,happiness,"Good use of joins! However, you need to qualify the column names with table aliases in JOIN condition to avoid ambiguity.",Understanding the importance of table prefixes in multi-table queries
"SELECT Timestamp, COUNT(*) FROM Logs l JOIN Incidents i ON i.Employee_ID = l.Employee_ID GROUP BY Timestamp;",logic,ambiguous reference,neutral,This query is ambiguous because Timestamp is not qualified in the SELECT or GROUP BY clauses. Since both Logs and Incidents contain this column.,Understanding column reference ambiguity in JOIN
"SELECT i.Description, r.Status FROM Incidents i JOIN Robots r ON i.Robot_ID = r.Robot_ID ORDER BY Robot_ID;",logic,ambiguous reference,happiness,"Nice Try! However, this query is ambiguous because the ORDER BY clause uses Robot_ID without a table alias.",Understanding that ORDER BY clauses also require unambiguous column references
"SELECT e.Division, COUNT(e.Employee_ID) FROM Employees e JOIN Robots r ON e.Employee_ID = r.Employee_ID GROUP BY e.Division ORDER BY COUNT(Employee_ID);",logic,ambiguous reference,anger,No stress about grouping! Just note that the query is ambiguous because the ORDER BY clause uses Employee_ID without a table alias.,Understanding that ORDER BY clauses also require unambiguous column references
SELECT * FROM Logs l JOIN Robots r ON l.Robot_ID = r.Robot_ID ORDER BY Employee_ID;,logic,ambiguous reference,calmness,This query is ambiguous because the ORDER BY clause uses Employee_ID without a table alias.,Understanding that ORDER BY clauses also require unambiguous column references
"SELECT Division AS Employee_ID, Job_Role FROM Employees WHERE Employee_ID > 1000;",logic,ambiguous reference,sadness,Don't worry about aliases! You created an alias 'Employee_ID' that conflicts with the actual column name in the WHERE clause.,Understanding how column aliases can create naming conflicts
"SELECT Employee_ID, Job_Role FROM Employees e JOIN Robots r ON e.Employee_ID = r.Employee_ID;",logic,ambiguous reference,neutral,Column 'Employee_ID' is ambiguous - it exists in both tables. Use 'e.Employee_ID' or 'r.Employee_ID' to specify which table.,Understanding column reference ambiguity
"SELECT i.Incident_ID, i.Description, r.Model FROM Incidents i JOIN Robots r ON Robot_ID = Robot_ID;",logic,ambiguous reference,sadness,Don't get confused! You need to qualify the column names with table aliases in JOIN condition.,Understanding column reference ambiguity in JOIN
DELETE FROM Incidents WHERE EXISTS (SELECT 1 FROM Logs WHERE Employee_ID = Employee_ID AND Robot_ID = Incidents.Robot_ID);,logic,ambiguous reference,calmness,This query is ambiguous because the condition Employee_ID = Employee_ID does not specify which table the column belongs to.,Learning to distinguish between outer and inner query column references
SELECT * FROM Employees e JOIN Robots r ON e.Employee_ID = r.Employee_ID JOIN Logs l ON e.Employee_ID = l.Employee_ID WHERE r.Status = 'Active' AND Robot_ID = 5;,logic,ambiguous reference,anger,Don't get frustrated with multi-table joins! Robot_ID is ambiguous because it exists in multiple tables. Always prefix with the correct table alias to avoid errors.,Understanding the importance of table prefixes in multi-table queries
"SELECT l.Robot_ID, MAX(l.Timestamp) FROM Logs l JOIN Incidents i ON l.Robot_ID = i.Robot_ID GROUP BY l.Robot_ID ORDER BY MAX(Timestamp);",logic,ambiguous reference,happiness,"Great job with GROUP BY!  However, 'Timestamp' in ORDER BY is ambiguous. Try to fix it with a table alias.",Understanding that ORDER BY clauses also require unambiguous column references
